audit_id,transaction_id,customer_name,attempt_number,root_cause,severity,action,bounded_by,outcome_status,recovered_amount,time_to_recovery_hours,timestamp
AUD00017,TXN20260800054,Vikram Sheikh,3,user_abandonment,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.781Z
AUD00018,TXN20260800009,Ansh Pillai,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00019,TXN20260800009,Ansh Pillai,2,issuer_decline,high,retry_payment_link,,recovered,499,0.5,2026-09-02T08:58:59.781Z
AUD00020,TXN20260800046,Manish Kulkarni,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00021,TXN20260800046,Manish Kulkarni,2,insufficient_funds,high,discount_offer,discount_cap_policy,recovered,41740,12,2026-09-02T08:58:59.781Z
AUD00022,TXN20260800092,Kabir Iyer,1,transient_infra,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00023,TXN20260800092,Kabir Iyer,2,transient_infra,low,reminder_nudge,no_repeat_action_policy,recovered,1750,16.6,2026-09-02T08:58:59.781Z
AUD00024,TXN20260800084,Zoya Desai,1,authentication_failure,low,retry_payment_link,,recovered,610,0.1,2026-09-02T08:58:59.781Z
AUD00025,TXN20260800035,Kavita Menon,1,authentication_failure,high,retry_payment_link,,recovered,4999,1.2,2026-09-02T08:58:59.781Z
AUD00026,TXN20260800061,Ansh Verma,1,transient_infra,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00027,TXN20260800061,Ansh Verma,2,transient_infra,medium,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00028,TXN20260800061,Ansh Verma,3,transient_infra,medium,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00029,TXN20260800041,Navya Joshi,1,transient_infra,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00030,TXN20260800041,Navya Joshi,2,transient_infra,medium,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00031,TXN20260800041,Navya Joshi,3,transient_infra,medium,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.781Z
AUD00032,TXN20260800091,Rahul Malhotra,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00033,TXN20260800091,Rahul Malhotra,2,issuer_decline,medium,retry_payment_link,,recovered,4080,1.5,2026-09-02T08:58:59.781Z
AUD00034,TXN20260800038,Meera Pillai,1,user_abandonment,medium,reminder_nudge,,recovered,1499,17.4,2026-09-02T08:58:59.781Z
AUD00035,TXN20260800007,Saanvi Chopra,1,user_abandonment,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00036,TXN20260800007,Saanvi Chopra,2,user_abandonment,medium,discount_offer,discount_cap_policy,recovered,2499,8.9,2026-09-02T08:58:59.781Z
AUD00037,TXN20260800059,Ansh Sharma,1,insufficient_funds,high,reminder_nudge,,recovered,4290,17.6,2026-09-02T08:58:59.781Z
AUD00038,TXN20260800058,Aarav Bansal,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00039,TXN20260800058,Aarav Bansal,2,insufficient_funds,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00040,TXN20260800058,Aarav Bansal,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00041,TXN20260800076,Sai Kapoor,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00042,TXN20260800076,Sai Kapoor,2,issuer_decline,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00043,TXN20260800076,Sai Kapoor,3,issuer_decline,medium,escalate_to_human,max_attempts_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00044,TXN20260800030,Krishna Gupta,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00045,TXN20260800030,Krishna Gupta,2,issuer_decline,high,discount_offer,discount_cap_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00046,TXN20260800030,Krishna Gupta,3,issuer_decline,high,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00047,TXN20260800028,Aryan Patel,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00048,TXN20260800028,Aryan Patel,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00049,TXN20260800028,Aryan Patel,3,authentication_failure,medium,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00050,TXN20260800025,Aryan Pillai,1,insufficient_funds,high,reminder_nudge,,recovered,999,3.3,2026-09-02T08:58:59.781Z
AUD00051,TXN20260800072,Arjun Sheikh,1,transient_infra,medium,retry_payment_link,,recovered,39570,1.5,2026-09-02T08:58:59.781Z
AUD00052,TXN20260800080,Nida Chatterjee,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00053,TXN20260800080,Nida Chatterjee,2,insufficient_funds,high,discount_offer,discount_cap_policy,recovered,1499,3.1,2026-09-02T08:58:59.781Z
AUD00054,TXN20260800036,Kabir Joshi,1,issuer_decline,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00055,TXN20260800036,Kabir Joshi,2,issuer_decline,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00056,TXN20260800036,Kabir Joshi,3,issuer_decline,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.781Z
AUD00057,TXN20260800062,Pooja Pillai,1,insufficient_funds,high,reminder_nudge,,recovered,1499,17.1,2026-09-02T08:58:59.781Z
AUD00058,TXN20260800049,Ira Yadav,1,user_abandonment,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00059,TXN20260800049,Ira Yadav,2,user_abandonment,medium,retry_payment_link,,recovered,3520,1.5,2026-09-02T08:58:59.781Z
AUD00060,TXN20260800045,Kabir Nair,1,insufficient_funds,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00061,TXN20260800045,Kabir Nair,2,insufficient_funds,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00062,TXN20260800045,Kabir Nair,3,insufficient_funds,medium,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.781Z
AUD00063,TXN20260800032,Aditya Shah,1,transient_infra,medium,retry_payment_link,,recovered,299,0.9,2026-09-02T08:58:59.781Z
AUD00064,TXN20260800039,Sneha Sheikh,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00065,TXN20260800039,Sneha Sheikh,2,issuer_decline,high,retry_payment_link,,recovered,149,1.4,2026-09-02T08:58:59.781Z
AUD00066,TXN20260800015,Rohan Kapoor,1,transient_infra,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00067,TXN20260800015,Rohan Kapoor,2,transient_infra,low,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00068,TXN20260800015,Rohan Kapoor,3,transient_infra,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.781Z
AUD00069,TXN20260800052,Rohan Agarwal,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00070,TXN20260800052,Rohan Agarwal,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,recovered,2500,17.2,2026-09-02T08:58:59.781Z
AUD00071,TXN20260800013,Ananya Verma,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00072,TXN20260800013,Ananya Verma,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00073,TXN20260800013,Ananya Verma,3,authentication_failure,medium,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00074,TXN20260800040,Krishna Patel,1,insufficient_funds,high,reminder_nudge,,recovered,149,4.4,2026-09-02T08:58:59.781Z
AUD00075,TXN20260800088,Ayesha Sheikh,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00076,TXN20260800088,Ayesha Sheikh,2,insufficient_funds,high,discount_offer,discount_cap_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00077,TXN20260800088,Ayesha Sheikh,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00078,TXN20260800031,Krishna Menon,1,authentication_failure,medium,retry_payment_link,,recovered,7410,0.2,2026-09-02T08:58:59.781Z
AUD00079,TXN20260800063,Ansh Rao,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00080,TXN20260800063,Ansh Rao,2,insufficient_funds,high,discount_offer,discount_cap_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00081,TXN20260800063,Ansh Rao,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.781Z
AUD00082,TXN20260800026,Riya Chopra,1,user_abandonment,high,reminder_nudge,,recovered,1499,5.8,2026-09-02T08:58:59.781Z
AUD00083,TXN20260800078,Krishna Mehta,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00084,TXN20260800078,Krishna Mehta,2,issuer_decline,high,discount_offer,discount_cap_policy,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00085,TXN20260800078,Krishna Mehta,3,issuer_decline,high,escalate_to_human,final_attempt_policy,recovered,999,67.4,2026-09-02T08:58:59.781Z
AUD00086,TXN20260800042,Nisha Chopra,1,user_abandonment,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00087,TXN20260800042,Nisha Chopra,2,user_abandonment,medium,discount_offer,discount_cap_policy,recovered,1499,10,2026-09-02T08:58:59.782Z
AUD00088,TXN20260800001,Neha Mehta,1,user_abandonment,low,reminder_nudge,,recovered,1700,11.3,2026-09-02T08:58:59.782Z
AUD00089,TXN20260800086,Navya Trivedi,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00090,TXN20260800086,Navya Trivedi,2,insufficient_funds,high,discount_offer,discount_cap_policy,recovered,999,4.2,2026-09-02T08:58:59.782Z
AUD00091,TXN20260800020,Yash Banerjee,1,issuer_decline,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00092,TXN20260800020,Yash Banerjee,2,issuer_decline,low,retry_payment_link,,recovered,500,1.4,2026-09-02T08:58:59.782Z
AUD00093,TXN20260800004,Anjali Ansari,1,authentication_failure,medium,retry_payment_link,,recovered,499,0.1,2026-09-02T08:58:59.782Z
AUD00094,TXN20260800048,Amit Shah,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00095,TXN20260800048,Amit Shah,2,issuer_decline,high,discount_offer,discount_cap_policy,recovered,4999,16.5,2026-09-02T08:58:59.782Z
AUD00096,TXN20260800087,Pari Kulkarni,1,insufficient_funds,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00097,TXN20260800087,Pari Kulkarni,2,insufficient_funds,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00098,TXN20260800087,Pari Kulkarni,3,insufficient_funds,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.782Z
AUD00099,TXN20260800012,Sneha Pillai,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00100,TXN20260800012,Sneha Pillai,2,insufficient_funds,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00101,TXN20260800012,Sneha Pillai,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,recovered,499,58.2,2026-09-02T08:58:59.782Z
AUD00102,TXN20260800023,Manish Singh,1,insufficient_funds,medium,reminder_nudge,,recovered,10500,1,2026-09-02T08:58:59.782Z
AUD00103,TXN20260800019,Pooja Menon,1,user_abandonment,medium,reminder_nudge,,recovered,999,17.3,2026-09-02T08:58:59.782Z
AUD00104,TXN20260800067,Anjali Singh,1,issuer_decline,high,reminder_nudge,,recovered,149,14.7,2026-09-02T08:58:59.782Z
AUD00105,TXN20260800018,Nikhil Kapoor,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00106,TXN20260800018,Nikhil Kapoor,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,recovered,6960,3.1,2026-09-02T08:58:59.782Z
AUD00107,TXN20260800033,Nida Rao,1,transient_infra,medium,retry_payment_link,,recovered,149,0.5,2026-09-02T08:58:59.782Z
AUD00108,TXN20260800075,Isha Malhotra,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00109,TXN20260800075,Isha Malhotra,2,issuer_decline,medium,retry_payment_link,,recovered,3370,0.5,2026-09-02T08:58:59.782Z
AUD00110,TXN20260800017,Sana Sheikh,1,issuer_decline,high,reminder_nudge,,recovered,2499,10.7,2026-09-02T08:58:59.782Z
AUD00111,TXN20260800064,Zoya Ansari,1,authentication_failure,medium,retry_payment_link,,recovered,1499,1.5,2026-09-02T08:58:59.782Z
AUD00112,TXN20260800002,Suresh Sharma,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00113,TXN20260800002,Suresh Sharma,2,issuer_decline,high,discount_offer,discount_cap_policy,recovered,1499,10.5,2026-09-02T08:58:59.782Z
AUD00114,TXN20260800090,Shreya Verma,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00115,TXN20260800090,Shreya Verma,2,insufficient_funds,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00116,TXN20260800090,Shreya Verma,3,insufficient_funds,high,escalate_to_human,max_attempts_policy,escalated_pending,0,,2026-09-02T08:58:59.782Z
AUD00117,TXN20260800066,Saanvi Mehta,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00118,TXN20260800066,Saanvi Mehta,2,issuer_decline,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00119,TXN20260800066,Saanvi Mehta,3,issuer_decline,medium,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.782Z
AUD00120,TXN20260800068,Saanvi Desai,1,user_abandonment,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00121,TXN20260800068,Saanvi Desai,2,user_abandonment,medium,retry_payment_link,,recovered,4930,0.6,2026-09-02T08:58:59.782Z
AUD00122,TXN20260800069,Rajesh Kapoor,1,user_abandonment,medium,reminder_nudge,,recovered,14060,7.7,2026-09-02T08:58:59.782Z
AUD00123,TXN20260800082,Anjali Rao,1,transient_infra,low,retry_payment_link,,recovered,920,0.3,2026-09-02T08:58:59.782Z
AUD00124,TXN20260800044,Pari Khan,1,authentication_failure,medium,retry_payment_link,,recovered,149,0.2,2026-09-02T08:58:59.782Z
AUD00125,TXN20260800003,Sneha Khan,1,user_abandonment,low,reminder_nudge,,recovered,870,8.3,2026-09-02T08:58:59.782Z
AUD00126,TXN20260800024,Zoya Desai,1,transient_infra,medium,retry_payment_link,,recovered,8170,0.4,2026-09-02T08:58:59.782Z
AUD00127,TXN20260800056,Isha Chatterjee,1,transient_infra,high,retry_payment_link,,recovered,999,1.1,2026-09-02T08:58:59.782Z
AUD00128,TXN20260800089,Karan Malhotra,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00129,TXN20260800089,Karan Malhotra,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,recovered,3280,2,2026-09-02T08:58:59.782Z
AUD00130,TXN20260800034,Anika Malhotra,1,issuer_decline,high,reminder_nudge,,recovered,2499,15.7,2026-09-02T08:58:59.782Z
AUD00131,TXN20260800065,Sneha Ansari,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00132,TXN20260800065,Sneha Ansari,2,insufficient_funds,high,discount_offer,discount_cap_policy,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00133,TXN20260800065,Sneha Ansari,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,escalated_pending,0,,2026-09-02T08:58:59.782Z
AUD00134,TXN20260800071,Zoya Malhotra,1,issuer_decline,high,reminder_nudge,,recovered,2499,5.3,2026-09-02T08:58:59.782Z
AUD00135,TXN20260800021,Sai Verma,1,transient_infra,low,retry_payment_link,,recovered,260,1.5,2026-09-02T08:58:59.782Z
AUD00136,TXN20260800081,Ansh Bose,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00137,TXN20260800081,Ansh Bose,2,issuer_decline,medium,retry_payment_link,,recovered,790,1.5,2026-09-02T08:58:59.782Z
AUD00138,TXN20260800027,Aryan Banerjee,1,transient_infra,low,retry_payment_link,,recovered,230,0.7,2026-09-02T08:58:59.782Z
AUD00139,TXN20260800047,Rajesh Trivedi,1,user_abandonment,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00140,TXN20260800047,Rajesh Trivedi,2,user_abandonment,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00141,TXN20260800047,Rajesh Trivedi,3,user_abandonment,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.782Z
AUD00142,TXN20260800010,Rajesh Malhotra,1,authentication_failure,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00143,TXN20260800010,Rajesh Malhotra,2,authentication_failure,high,reminder_nudge,no_repeat_action_policy,recovered,21270,17.6,2026-09-02T08:58:59.782Z
AUD00144,TXN20260800077,Swati Trivedi,1,issuer_decline,medium,reminder_nudge,,recovered,3100,1.8,2026-09-02T08:58:59.782Z
AUD00145,TXN20260800011,Rahul Trivedi,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00146,TXN20260800011,Rahul Trivedi,2,issuer_decline,high,discount_offer,discount_cap_policy,recovered,4999,2.4,2026-09-02T08:58:59.782Z
AUD00147,TXN20260800074,Dhruv Shah,1,insufficient_funds,high,reminder_nudge,,recovered,34840,5.6,2026-09-02T08:58:59.782Z
AUD00148,TXN20260800051,Ritu Gupta,1,insufficient_funds,high,reminder_nudge,,recovered,999,12.2,2026-09-02T08:58:59.782Z
AUD00149,TXN20260800014,Imran Chopra,1,transient_infra,medium,retry_payment_link,,recovered,2499,0.1,2026-09-02T08:58:59.782Z
AUD00150,TXN20260800057,Suresh Sheikh,1,authentication_failure,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00151,TXN20260800057,Suresh Sheikh,2,authentication_failure,high,reminder_nudge,no_repeat_action_policy,recovered,149,6.9,2026-09-02T08:58:59.782Z
AUD00152,TXN20260800037,Navya Chatterjee,1,user_abandonment,high,reminder_nudge,,recovered,999,7.4,2026-09-02T08:58:59.782Z
AUD00153,TXN20260800008,Navya Khan,1,insufficient_funds,high,reminder_nudge,,recovered,17810,8.9,2026-09-02T08:58:59.782Z
AUD00154,TXN20260800006,Neha Khan,1,transient_infra,medium,retry_payment_link,,recovered,6800,0.9,2026-09-02T08:58:59.782Z
AUD00155,TXN20260800055,Aditya Nair,1,insufficient_funds,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00156,TXN20260800055,Aditya Nair,2,insufficient_funds,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00157,TXN20260800055,Aditya Nair,3,insufficient_funds,low,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.782Z
AUD00158,TXN20260800043,Shreya Sharma,1,user_abandonment,medium,reminder_nudge,,recovered,4580,2.5,2026-09-02T08:58:59.782Z
AUD00159,TXN20260800005,Krishna Iyer,1,issuer_decline,medium,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00160,TXN20260800005,Krishna Iyer,2,issuer_decline,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00161,TXN20260800005,Krishna Iyer,3,issuer_decline,medium,no_action_needed,final_attempt_policy,no_action,0,,2026-09-02T08:58:59.782Z
AUD00162,TXN20260800050,Vikram Mehta,1,insufficient_funds,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00163,TXN20260800050,Vikram Mehta,2,insufficient_funds,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00164,TXN20260800050,Vikram Mehta,3,insufficient_funds,high,escalate_to_human,final_attempt_policy,recovered,149,77.3,2026-09-02T08:58:59.782Z
AUD00165,TXN20260800060,Manish Mukherjee,1,authentication_failure,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.782Z
AUD00166,TXN20260800060,Manish Mukherjee,2,authentication_failure,low,reminder_nudge,no_repeat_action_policy,recovered,710,12.8,2026-09-02T08:58:59.782Z
